"name","collab_count"
Volker Baum,286
Warren Huelsnitz,286
Xinhua Bai,286
Yolanda Sestayo de la Cerra,286
Hao Chen,285
Wiro J. Niessen,285
Anders M. Dale,284
Lei Li,284
Hong Zhang,282
Xiaojiang Du,282
Geyong Min,281
Lin Wang,280
Qi Li,280
Mario Gerla,279
Peter T. Fox,278
Philip S. Yu,276
Lei Shi,275
Li Chen,275
Mark Jenkinson,275
Lin Zhang,274
Peng Li,274
Hong Li,273
Jia Liu,273
Shui Yu,273
Wei Jiang,273
Thomas E. Nichols,270
Jie Liu,269
Min Zhang,269
Cheng Wang,268
Fang Liu,267
Jason H. Moore,267
Fei-Yue Wang 0001,266
Meng Wang,266
Yang Zhao,266
Zhen Wang,265
et al.,264
Liang Zhang,263
Xiang Wang,263
Hua Wang,260
Yuan Wang,260
Lei Shu 0001,259
Yuan Yan Tang,259
Ming Liu,258
Yue Zhang,258
Chang Liu,257
Frederik Barkhof,257
Alejandro F. Frangi,256
Yu Li,256
Chao Li,254
Jin Zhang,254
Mateo Valero,254
Di Wu,253
Simon B. Eickhoff,253
Wei Huang,253
Wei Yang,252
Yi Yang,252
Dan Wang,251
Frede Blaabjerg,251
Jian Yang,251
Jin Wang,250
Lu Wang,249
Yi Liu,249
Li Yang,248
Mohammad S. Obaidat,248
Rajkumar Buyya,247
Ping Li,246
Jie Yang,245
Joachim Hornegger,245
Shi Jin,245
Qiang Wang,244
Tao Liu,244
Hao Wu,243
Jong Hyuk Park,243
Yang Yu,243
Bo Ai,241
Roland Siegwart,241
Yong Li,241
Pheng-Ann Heng,240
Elisa Bertino,239
Zheng Wang,239
Brian B. Avants,238
Chi Zhang,238
Lei Yang,237
Liang Chen,237
Qi Liu,237
Tao Chen,237
Andreas F. Molisch,236
David Zhang 0001,236
Jing Zhao,236
Toshio Fukuda,236
Feng Xu,235
Panos M. Pardalos,235
Song Guo 0001,235
Wei Wei,235
Yi Pan 0001,235
Ben Glocker,234
Yuan Li,234
Zhiguo Ding 0001,234
Xin Yao 0001,233
Liang Wang,232
Meng-Fan Chang,232
Ke Wang,231
Wei Sun,231
Jun Luo,230
Ranga B. Myneni,230
Tingwen Huang,230
Yang Xiang 0001,230
Bennett A. Landman,228
Christos Davatzikos,228
Erik D. Demaine,228
Fei Li,228
Hamid Reza Karimi,228
Xiang-Yang Li 0001,228
Ming Zhang,227
Li Liu,226
Wei Gao,226
Xu Zhang,226
Gang Liu,225
Han-Chieh Chao,225
Lin Yang,225
Piet Demeester,225
Yan Xu,225
Yong He,225
Carole A. Goble,224
Shuicheng Yan,224
Jun Hu,223
Susumu Mori,223
Thomas Lippert,223
Yue Li,223
Jun Liu,222
Meng Li,222
Yan Chen,222
Yan Zhang 0002,222
C. L. Philip Chen,221
David C. Van Essen,221
Enrico Zio,221
Gang Chen,221
Hongwei Liu,221
Robert W. Heath Jr.,221
Dean F. Sittig,220
Muhammad Khurram Khan,220
Christian F. Beckmann,219
James C. Gee,219
Chau Yuen,218
Francisco Herrera,218
Jun Wu,218
Na Li,218
Satoshi Matsuoka,218
Bo Chen,217
Zhihan Lv,217
Guihai Chen,216
Jianfeng Ma,216
Ting Zhang,216
Wei Zhao,216
Fei Gao,215
Frank L. Lewis,215
Jon Crowcroft,215
Joshua C. Denny,215
Weisi Lin,215
Yuan Gao,215
Yunhao Liu,215
Lawrence L. Wald,214
Ling Wang,214
David E. Keyes,213
F. Richard Yu,213
George Hripcsak,213
Jean-Franois Mangin,213
Qiang Zhang,213
Chen Chen,212
Cheng Li,212
Fang Wang,212
Jrgen Kurths,212
Marc Modat,212
Min Chen 0003,212
Hua Xu 0001,211
Jaime Lloret,211
Katrin Amunts,211
Muhammad Ali Imran,211
Shuai Wang,211
Simon K. Warfield,211
Xiao Wang,211
Yang Zhou,211
Adriano Camps,210
Alok N. Choudhary,210
Guan Gui,210
Jian Chen,210
Jun Chen,210
Karl Zilles,210
Ying Chen,210
Yong Li 0008,210
Bin Yang,209
Noga Alon,209
Xin Zhou,209
Bin Zhao,208
Chao Liu,208
Feng Wu,208
Jocelyn Chanussot,208
Ping Zhang,208
Howard Jay Siegel,207
Jun Ma,207
Kai Zhang,207
Zhen Li,207
Liang Li,206
Michel Dumontier,206
Xi Zhang,206
Xinghuo Yu 0001,206
Bruce R. Rosen,205
Chao Yang,205
Feng Yang,205
Giovanni B. Frisoni,205
Jun Zhou,205
Tasawar Hayat,205
Wei Guo,205
Xin He,205
Zidong Wang,205
Koji Nii,204
Feng Pan,203
Lihua Xie,203
Jianhua Ma,202
Jin Li,202
Tao Jiang,202
Thomas J. Jackson,202
Gilbert Laporte,201
Ilsun You,201
Jiangchuan Liu,201
Jiming Chen,201
Mrouane Debbah,201
Rajiv Ranjan,201
Ying-Chang Liang,201
Geoffrey Ye Li,200
George K. Karagiannidis,200
Hao Huang,200
Li Zhou,200
Lorenzo Bruzzone,200
Sherali Zeadally,200
Wei Lu,200
Yang Xu,200
Guangjie Han,199
Jing Xu,199
Azzedine Boukerche,198
Bin Yu,198
Jessica A. Turner,198
Seungmin Rho,198
Xiaohua Jia,198
Chen Wang,197
Kai Liu,197
Tony Q. S. Quek,197
Julien Cohen-Adad,196
Kang G. Shin,196
Shunlin Liang,196
Yang Chen,196
Martin Styner,195
Xiaodong Wang,195
Franck Cappello,194
Ling Shao 0001,194
Paul M. Matthews,194
Rahim Tafazolli,194
Robert Schober,194
Christopher G. Chute,193
Feng Xia 0001,193
Gerhard P. Fettweis,193
Hong Liu,193
Laurence Tianruo Yang,193
Qian Zhang 0001,193
Xiang-Gen Xia,193
Ajith Abraham,192
Jianping Wu,192
Kun Wang,192
Perry L. Miller,192
Qing Li 0001,192
Juan Li,191
Yan Zhou,191
Ewa Deelman,190
Minyi Guo,190
Victor Hugo C. de Albuquerque,190
Xiaohu You,190
Xiaoming Li,190
Xindong Wu 0001,190
Yann Kerr,190
Zhen Liu,190
Bo Yang,189
Isaac S. Kohane,189
Lei Zhao,189
Lin Chen,189
Qiang Ni,189
Shouyang Wang,189
Yong Xu,189
Yu Zhou,189
Yun Zhang,189
Francky Catthoor,187
John Ashburner,187
Massimo Filippi,187
Mischa Dohler,187
Nanning Zheng,187
Ning Zhang,187
Xiao Li,187
Xiaofeng Wang,187
Yi Zhao,187
C.-C. Jay Kuo,186
Daniel C. Alexander,186
Jean-Philippe Thiran,186
Joel H. Saltz,186
Michael W. Weiner,186
Xin Zhao,186
Xinbing Wang,186
Kamil Ugurbil,185
Karl Henrik Johansson,185
Makoto Nagata,185
Bing Han,184
Hongfang Liu,184
John A. Gunnels,184
Nan Li,184
Pan Hui,184
Wei He,184
Yuanqing Xia,184
Yue Liu,184
Abraham Z. Snyder,183
Bin Chen,183
Peter Willett 0002,183
Xiang Zhang,183
Xu Li,183
Bin Zhou,182
Fathi E. Abd El-Samie,182
Hsinchun Chen,182
Jie Yang 0002,182
Jingjing Wang,182
Kishor S. Trivedi,182
Qingquan Li,182
Sad Jbabdi,182
Xingming Sun,182
Amir Hussain,181
Arno Villringer,181
Lei Zhu,181
Lizhe Wang,181
Lu Liu,181
Xiaodong Liu,181
Yue Zhao,181
Clifford R. Jack Jr.,180
Liangpei Zhang,180
Marc Snir,180
Min Wang,180
Rainer Goebel,180
Wayne Luk,180
Yong Yang,180
Bjoern H. Menze,179
Chin-Teng Lin,179
Julia A. Schnabel,179
Nan Wang,179
Qi Tian 0001,179
Rongxing Lu,179
Zhen Zhang,179
Dusit Niyato,178
Ke Li,178
Masanori Hashimoto,178
Shaoqian Li,178
Xiao Zhang,178
Yan Yan,178
Yi Qian,178
Yong Chen,178
Christos Faloutsos,177
Daqing Zhang 0001,177
Eduard Ayguad,177
Ignacio E. Grossmann,177
Lei Zhou,177
Li Xu,177
Lucila Ohno-Machado,177
Bin Hu,176
Ju H. Park 0001,176
Sen Wang,176
Weihua Zhuang,176
Yi Chen,176
Yu Yang,176
Arumugam Nallanathan,175
Bing Li,175
Jie Zhou,175
Maxime Sermesant,175
Qian Chen,175
Abdulmotaleb El-Saddik,174
Dimitrios Tzovaras,174
Dong Li,174
Haijun Zhang,174
Jianguo Zhang,174
Jin Chen,174
Kawal S. Rhode,174
Ling Li,174
Manish Parashar,174
Mengchu Zhou,174
Peng Chen,174
Peng Liu,174
Pingzhi Fan,174
Wil M. P. van der Aalst,174
Xuan Li,174
Chao Chen,173
Chen Zhang,173
Cheng-Xiang Wang 0001,173
Dan Zhang,173
Jean-Baptiste Poline,173
Juha Hyypp,173
Lin Zhu,173
Mohammad Mehedi Hassan,173
Rui Chen,173
Schahram Dustdar,173
Yong Zhao,173
Yu Zhao,173
Dan Li,172
Edward T. Bullmore,172
Essa Yacoub,172
James D. Warnock,172
Masaaki Higashitani,172
Paolo Maria Rossini,172
Tong Li,172
Xiuzhen Cheng,172
Yi Sun,172
Zhangdui Zhong,172
Andreas Heinz,171
Jos E. Moreira,171
Kai Li,171
Manuel Jorge Cardoso,171
Robert Stevens 0001,171
Sam Kwong,171
Shuzhi Sam Ge,171
Yann H. Kerr,171
Yi-Bing Lin,171
Zhiwu Li,171
Daniel A. Reed,170
Josien P. W. Pluim,170
Juan Wang,170
Xiaodong Wang 0001,170
Andreas Colliander,169
Gereon R. Fink,169
Hui Xiong,169
Huijun Gao,169
Jun Xu,169
Weijia Jia,169
Wolfgang E. Nagel,169
Chen Li,168
Dan Wu,168
David T. Blaauw,168
Guang-Zhong Yang,168
Kai-Kit Wong,168
Octavia A. Dobre,168
Shaojie Tang,168
Wei Hu,168
Yuguang Fang,168
Zheng Liu,168
Chulwoo Kim,167
Feifei Gao,167
Filip De Turck,167
Neeraj Kumar 0001,167
Rik Van de Walle,167
Young-Hyun Jun,167
Zhe Wang,167
Adam Wright,166
Bing Wang,166
Christer Halldin,166
Dennis Sylvester,166
Ding-Zhu Du,166
G. Bruce Pike,166
Joseph V. Hajnal,166
Liang Zhao,166
Masahiro Fujita,166
Masayuki Murata,166
Xi Li,166
Xiao Han,166
Yan Yang,166
Ying Xu,166
Zhiyong Feng,166
Dan Liu,165
Dimitri Van De Ville,165
Meng Wang 0001,165
Min Chen,165
Mohammad Shahidehpour,165
Xinbo Gao,165
Yuan Yuan,165
Yue Wu,165
David E. J. Linden,164
Xing Zhang,164
Yevgeni Koucheryavy,164
Bin Zhang,163
Hua Li,163
Hui Zhao,163
Mark A. Musen,163
Michele Zorzi,163
Reza Razavi,163
Shigeki Sugano,163
Tianzi Jiang,163
Trung Quang Duong,163
Wen Zhang,163
Xinping Guan,163
Atsuo Takanishi,162
Bernard De Baets,162
David Abramson,162
Hong Yu,162
Ian F. Akyildiz,162
Jeffrey S. Vetter,162
Naren Ramakrishnan,162
Peng Yang,162
Qian Li,162
Qing Zhang,162
Roland Wiest,162
Ting Wang,162
Tingting Zhang,162
Xin Xu,162
Yuan Liu,162
David J. Hawkes,161
Dimitra Simeonidou,161
Han Zhang,161
Hui Chen,161
Jeffrey P. Walker,161
Klaus-Robert Mller,161
Mark D. Wilkinson,161
Nan Zhang,161
Ying Sun,161
Yong Hu,161
Z. Zhang,161
Zhi Li,161
Alexander Leemans,160
Amit P. Sheth,160
Biswanath Mukherjee,160
Christian Bchel,160
Chuang Lin,160
David J. Evans 0001,160
Greig I. de Zubicaray,160
Hao Yang,160
Ioannis Kompatsiaris,160
Jian Yu,160
Peter A. Bandettini,160
Qian Du,160
Rui Liu,160
Tao Wu,160
Yang Gao,160
Ahmed Alsaedi,159
Jian Weng,159
Junwei Han,159
Kenli Li,159
Neda Jahanshad,159
Panagiotis Demestichas,159
Ping Zhang 0003,159
Qing Liu,159
Shervin Shirmohammadi,159
Tian Wang 0001,159
Zhigeng Pan,159
Alex X. Liu,158
Anfeng Liu,158
Di Liu,158
Jeng-Shyang Pan,158
Jess Labarta,158
Michael I. Miller,158
Ming Chen,158
